UE,Éléments constitutifs,MCC 40%,Examen 60%,Moy EC,Coef,Étudiant
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,11.7,11.48,11.57,"1,00",Etudiant_1
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,7.54,8.83,8.31,"2,00",Etudiant_1
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,16.75,19.52,18.41,"1,50",Etudiant_1
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,8.42,18.39,14.4,"1,75",Etudiant_1
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,8.76,7.6,8.07,"1,00",Etudiant_1
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,8.97,7.62,8.16,"1,00",Etudiant_2
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,19.55,17.41,18.26,"2,00",Etudiant_2
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,7.29,17.3,13.3,"1,50",Etudiant_2
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,13.44,16.12,15.05,"1,75",Etudiant_2
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,19.81,8.64,13.11,"1,00",Etudiant_2
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,10.87,7.4,8.79,"1,00",Etudiant_3
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,16.02,14.29,14.98,"2,00",Etudiant_3
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,7.82,8.36,8.14,"1,50",Etudiant_3
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,19.6,11.95,15.01,"1,75",Etudiant_3
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,7.88,11.7,10.17,"1,00",Etudiant_3
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,13.92,10.2,11.69,"1,00",Etudiant_4
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,19.64,17.18,18.16,"2,00",Etudiant_4
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,7.06,9.69,8.64,"1,50",Etudiant_4
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,15.38,15.93,15.71,"1,75",Etudiant_4
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,9.91,7.98,8.75,"1,00",Etudiant_4
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,11.09,17.25,14.79,"1,00",Etudiant_5
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,7.2,14.65,11.67,"2,00",Etudiant_5
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,7.4,18.99,14.35,"1,50",Etudiant_5
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,8.86,8.9,8.88,"1,75",Etudiant_5
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,10.54,14.09,12.67,"1,00",Etudiant_5
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,14.98,13.06,13.83,"1,00",Etudiant_6
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,18.5,7.65,11.99,"2,00",Etudiant_6
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,14.89,13.4,14.0,"1,50",Etudiant_6
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,17.56,8.68,12.23,"1,75",Etudiant_6
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,18.84,9.56,13.27,"1,00",Etudiant_6
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,18.28,15.78,16.78,"1,00",Etudiant_7
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,13.7,10.48,11.77,"2,00",Etudiant_7
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,12.48,7.08,9.24,"1,50",Etudiant_7
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,12.98,15.94,14.75,"1,75",Etudiant_7
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,7.53,8.6,8.17,"1,00",Etudiant_7
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,18.65,13.5,15.56,"1,00",Etudiant_8
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,13.65,12.81,13.14,"2,00",Etudiant_8
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,16.57,14.4,15.27,"1,50",Etudiant_8
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,10.57,18.4,15.27,"1,75",Etudiant_8
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,16.56,12.06,13.86,"1,00",Etudiant_8
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,14.25,10.01,11.71,"1,00",Etudiant_9
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,15.77,7.46,10.79,"2,00",Etudiant_9
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,7.94,11.18,9.88,"1,50",Etudiant_9
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,17.91,15.89,16.7,"1,75",Etudiant_9
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,14.58,12.83,13.53,"1,00",Etudiant_9
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,12.67,19.25,16.62,"1,00",Etudiant_10
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,17.48,17.95,17.76,"2,00",Etudiant_10
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,14.25,17.16,15.99,"1,50",Etudiant_10
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,18.18,15.44,16.54,"1,75",Etudiant_10
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,12.5,10.38,11.23,"1,00",Etudiant_10
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,14.73,12.22,13.23,"1,00",Etudiant_11
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,15.48,9.85,12.1,"2,00",Etudiant_11
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,16.85,16.11,16.4,"1,50",Etudiant_11
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,12.89,17.96,15.93,"1,75",Etudiant_11
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,12.95,11.47,12.06,"1,00",Etudiant_11
